(0, 3, 2, 0, 1, 'D', 2, 2, 0)
(1, 3, 1, 0, 1, 'D', 3, 2, 0)
(2, 2, 1, 0, 1, 'D', 2, 0, 0)
(3, 3, 1, 0, 1, 'D', 2, 1, 0)
(4, 2, 2, 1, 1, 'D', 3, 2, 1)
(5, 2, 1, 1, 1, 'D', 2, 2, 1)
(6, 2, 2, 2, 1, 'D', 3, 2, 2)
(7, 2, 0, 1, 1, 'D', 2, 1, 1)
(8, 2, 1, 2, 1, 'D', 2, 2, 2)
(9, 2, 2, 3, 1, 'D', 3, 2, 3)
(10, 2, 1, 2, 0, 'P', 2, 2, 2)
(11, 2, 0, 1, 0, 'P', 2, 1, 1)
(12, 2, 1, 1, 0, 'P', 2, 2, 1)
(13, 2, 1, 1, 1, 'D', 2, 0, 1)
(14, 2, 2, 1, 1, 'D', 2, 1, 1)
(15, 2, 1, 2, 1, 'D', 2, 0, 2)
(16, 2, 2, 1, 0, 'P', 2, 1, 1)
(17, 1, 2, 0, 0, 'P', 2, 2, 0)
(18, 2, 2, 0, 0, 'P', 2, 1, 0)
